ID,Raw,Date,Data,Excel Date,
224,"2nd February 2007 @ Korova, Liverpool, UK",2nd February 2007 ," Korova, Liverpool, UK",02/02/2007,
225,"3rd February 2007 @ The Horwood Bar, Keele University, UK",3rd February 2007 ," The Horwood Bar, Keele University, UK",03/02/2007,
226,"5th February 2007 @ Clwb Ifor Bach, Cardiff, UK",5th February 2007 ," Clwb Ifor Bach, Cardiff, UK",05/02/2007,
227,"6th February 2007 @ Thekla, Bristol, UK",6th February 2007 ," Thekla, Bristol, UK",06/02/2007,
228,"7th February 2007 @ The Loft, Cambridge, UK",7th February 2007 ," The Loft, Cambridge, UK",07/02/2007,
229,"8th February 2007 @ Moles, Bath, UK",8th February 2007 ," Moles, Bath, UK",08/02/2007,
230,"9th February 2007 @ Plug N Play, Reading, UK",9th February 2007 ," Plug N Play, Reading, UK",09/02/2007,
231,"10th February 2007 @ The Colliseum, Coventry, UK",10th February 2007 ," The Colliseum, Coventry, UK",10/02/2007,
232,"11th February 2007 @ Fibbers, York, UK",11th February 2007 ," Fibbers, York, UK",11/02/2007,
233,"12th February 2007 @ The Bar Academy, Birmingham, UK",12th February 2007 ," The Bar Academy, Birmingham, UK",12/02/2007,
234,"13th February 2007 @ The Borderline, London, UK",13th February 2007 ," The Borderline, London, UK",13/02/2007,
235,"14th February 2007 @ The Joiners, Southampton, UK",14th February 2007 ," The Joiners, Southampton, UK",14/02/2007,
236,"15th February 2007 @ The Zodiac, Oxford, UK",15th February 2007 ," The Zodiac, Oxford, UK",15/02/2007,
237,"16th February 2007 @ The Great White Horse, Ipswich, UK",16th February 2007 ," The Great White Horse, Ipswich, UK",16/02/2007,
238,"17th February 2007 @ Bar Lojo, Lohja, Finland",17th February 2007 ," Bar Lojo, Lohja, Finland",17/02/2007,
239,"18th February 2007 @ Bar Mary, Porvoo, Finland",18th February 2007 ," Bar Mary, Porvoo, Finland",18/02/2007,
240,"24th February 2007 @ Whelans, Dublin, Ireland",24th February 2007 ," Whelans, Dublin, Ireland",24/02/2007,
241,"25th February 2007 @ Queens University, Belfast, Northern Ireland",25th February 2007 ," Queens University, Belfast, Northern Ireland",25/02/2007,
242,"26th February 2007 @ McHughes Basement, Belfast, Northern Ireland",26th February 2007 ," McHughes Basement, Belfast, Northern Ireland",26/02/2007,
243,"27th February 2007 @ The Lower Deck, Dublin, Ireland",27th February 2007 ," The Lower Deck, Dublin, Ireland",27/02/2007,
244,"28th February 2007 @ Mason’s Bar, Derry, Northern Ireland",28th February 2007 ," Mason’s Bar, Derry, Northern Ireland",28/02/2007,
245,"2nd March 2007 @ The Side Cinema, Newcastle, UK",2nd March 2007 ," The Side Cinema, Newcastle, UK",02/03/2007,
246,"9th March 2007 @ The Borderline, London, UK",9th March 2007 ," The Borderline, London, UK",09/03/2007,
247,"14th March 2007 @ The Sanctuary, San Antonio, TX, USA",14th March 2007 ," The Sanctuary, San Antonio, TX, USA",14/03/2007,
248,"15th March 2007 @ Fado’s, Austin, TX, USA",15th March 2007 ," Fado’s, Austin, TX, USA",15/03/2007,
249,"15th March 2007 @ Plush, Austin, TX, USA",15th March 2007 ," Plush, Austin, TX, USA",15/03/2007,
250,"16th March 2007 @ Epoch Coffee, Austin, TX, USA",16th March 2007 ," Epoch Coffee, Austin, TX, USA",16/03/2007,
251,"18th March 2007 @ Modified, Phoenix, AZ, USA",18th March 2007 ," Modified, Phoenix, AZ, USA",18/03/2007,
252,"19th March 2007 @ The Knitting Factory, Los Angeles, CA, USA",19th March 2007 ," The Knitting Factory, Los Angeles, CA, USA",19/03/2007,
253,"20th March 2007 @ Bottom Of The Hill, San Fransisco, CA, USA",20th March 2007 ," Bottom Of The Hill, San Fransisco, CA, USA",20/03/2007,
254,"21st March 2007 @ The Delta Of Venus, Davis, CA, USA",21st March 2007 ," The Delta Of Venus, Davis, CA, USA",21/03/2007,
255,"22nd March 2007 @ The Old Ironsides, Sacramento, CA, USA",22nd March 2007 ," The Old Ironsides, Sacramento, CA, USA",22/03/2007,
256,"23rd March 2007 @ Sacred Grounds Coffee, Arcata, CA, USA",23rd March 2007 ," Sacred Grounds Coffee, Arcata, CA, USA",23/03/2007,
257,"24th March 2007 @ Mississippi Pizza, Portland, OR, USA",24th March 2007 ," Mississippi Pizza, Portland, OR, USA",24/03/2007,
258,"25th March 2007 @ Fantasia, Bellingham, WA, USA",25th March 2007 ," Fantasia, Bellingham, WA, USA",25/03/2007,
259,"26th March 2007 @ The High Dive, Seattle, WA, USA",26th March 2007 ," The High Dive, Seattle, WA, USA",26/03/2007,
260,"27th March 2007 @ Le Voyeur, Olympia, WA, USA",27th March 2007 ," Le Voyeur, Olympia, WA, USA",27/03/2007,
261,"3rd April 2007 @ The Boiler Room, Guildford, UK",3rd April 2007 ," The Boiler Room, Guildford, UK",03/04/2007,
262,"4th April 2007 @ The Globe, Brighton, UK",4th April 2007 ," The Globe, Brighton, UK",04/04/2007,
263,"5th April 2007 @ Unit 22, Southampton, UK",5th April 2007 ," Unit 22, Southampton, UK",05/04/2007,
264,"6th April 2007 @ The Vic Inn, Swindon, UK",6th April 2007 ," The Vic Inn, Swindon, UK",06/04/2007,
265,"7th April 2007 @ The Lamb, Devizes, UK",7th April 2007 ," The Lamb, Devizes, UK",07/04/2007,
266,"8th April 2007 @ The Railway Inn, Winchester, UK",8th April 2007 ," The Railway Inn, Winchester, UK",08/04/2007,
267,"14th April 2007 @ Frog, The Mean Fiddler, London, UK",14th April 2007 ," Frog, The Mean Fiddler, London, UK",14/04/2007,
268,"20th April 2007 @ The Camden Crawl, Oh! Bar, Camden, London, UK",20th April 2007 ," The Camden Crawl, Oh! Bar, Camden, London, UK",20/04/2007,
269,"22nd April 2007 @ The Night & Day Cafe, Manchester, UK",22nd April 2007 ," The Night & Day Cafe, Manchester, UK",22/04/2007,
270,"23rd April 2007 @ The Global Cafe, Newcastle University, Newcastle, UK",23rd April 2007 ," The Global Cafe, Newcastle University, Newcastle, UK",23/04/2007,
271,"24th April 2007 @ Cabaret Voltaire, Edinburgh, UK",24th April 2007 ," Cabaret Voltaire, Edinburgh, UK",24/04/2007,
272,"25th April 2007 @ HMV instore, Inverness, UK",25th April 2007 ," HMV instore, Inverness, UK",25/04/2007,
273,"25th April 2007 @ The Ironworks, Inverness, UK",25th April 2007 ," The Ironworks, Inverness, UK",25/04/2007,
274,"26th April 2007 @ Nice N Sleazys, Glasgow, UK",26th April 2007 ," Nice N Sleazys, Glasgow, UK",26/04/2007,
275,"27th April 2007 @ Korova, Liverpool, UK",27th April 2007 ," Korova, Liverpool, UK",27/04/2007,
276,"28th April 2007 @ The Charlotte, Leicester, UK",28th April 2007 ," The Charlotte, Leicester, UK",28/04/2007,
277,"29th April 2007 @ The Sugarmill, Stoke, UK",29th April 2007 ," The Sugarmill, Stoke, UK",29/04/2007,
278,"30th April 2007 @ The Plug, Sheffield, UK",30th April 2007 ," The Plug, Sheffield, UK",30/04/2007,
279,"1st May 2007 @ The Junction Theatre, Cambridge, UK",1st May 2007 ," The Junction Theatre, Cambridge, UK",01/05/2007,
280,"2nd May 2007 @ Bush Hall, London, UK",2nd May 2007 ," Bush Hall, London, UK",02/05/2007,
281,"4th May 2007 @ The Social, Nottingham, UK",4th May 2007 ," The Social, Nottingham, UK",04/05/2007,
282,"5th May 2007 @ The Soundhaus, Northampton, UK",5th May 2007 ," The Soundhaus, Northampton, UK",05/05/2007,
283,"6th May 2007 @ The Bar Academy, Birmingham, UK",6th May 2007 ," The Bar Academy, Birmingham, UK",06/05/2007,
284,"7th May 2007 @ Thekla, Bristol, UK",7th May 2007 ," Thekla, Bristol, UK",07/05/2007,
285,"8th May 2007 @ The Cavern, Exeter, UK",8th May 2007 ," The Cavern, Exeter, UK",08/05/2007,
286,"9th May 2007 @ The Cuckoo, Truro, UK",9th May 2007 ," The Cuckoo, Truro, UK",09/05/2007,
287,"11th May 2007 @ The Forum, Tunbridge Wells, UK",11th May 2007 ," The Forum, Tunbridge Wells, UK",11/05/2007,
288,"12th May 2007 @ The Zodiac, Oxford, UK",12th May 2007 ," The Zodiac, Oxford, UK",12/05/2007,
289,"13th May 2007 @ The Arts Centre, Norwich, UK",13th May 2007 ," The Arts Centre, Norwich, UK",13/05/2007,
290,"16th May 2007 @ The Green Room, Bournemouth, UK",16th May 2007 ," The Green Room, Bournemouth, UK",16/05/2007,
291,"17th May 2007 @ The Great Escape Festival, Brighton, UK",17th May 2007 ," The Great Escape Festival, Brighton, UK",17/05/2007,
292,"20th May 2007 @ The Pyramid Centre, Portsmouth, UK",20th May 2007 ," The Pyramid Centre, Portsmouth, UK",20/05/2007,
293,"21st May 2007 @ Brookes University, Oxford, UK",21st May 2007 ," Brookes University, Oxford, UK",21/05/2007,
294,"22nd May 2007 @ The Roundhouse, London, UK",22nd May 2007 ," The Roundhouse, London, UK",22/05/2007,
295,"23rd May 2007 @ Wulfrun Hall, Wolverhampton, UK",23rd May 2007 ," Wulfrun Hall, Wolverhampton, UK",23/05/2007,
296,"24th May 2007 @ The Junction, Cambridge, UK",24th May 2007 ," The Junction, Cambridge, UK",24/05/2007,
297,"26th May 2007 @ Leeds Met University, UK",26th May 2007 ," Leeds Met University, UK",26/05/2007,
298,"27th May 2007 @ Newcastle University, UK",27th May 2007 ," Newcastle University, UK",27/05/2007,
299,"28th May 2007 @ The Academy 2, Manchester, UK",28th May 2007 ," The Academy 2, Manchester, UK",28/05/2007,
300,"3rd June 2007 @ Middlesbrough Town Hall, UK",3rd June 2007 ," Middlesbrough Town Hall, UK",03/06/2007,
301,"3rd June 2007 @ The Central, Middlesbrough, UK",3rd June 2007 ," The Central, Middlesbrough, UK",03/06/2007,
302,"4th June 2007 @ The Scala, London, UK",4th June 2007 ," The Scala, London, UK",04/06/2007,
303,"7th June 2007 @ Fopp Records, Gloucester, UK",7th June 2007 ," Fopp Records, Gloucester, UK",07/06/2007,
304,"7th June 2007 @ The Porter Cellar Bar, Bath, UK",7th June 2007 ," The Porter Cellar Bar, Bath, UK",07/06/2007,
305,"8th June 2007 @ The Bridge House, Copsale, UK",8th June 2007 ," The Bridge House, Copsale, UK",08/06/2007,
306,"9th June 2007 @ The Hayward Gallery, South Bank, London, UK",9th June 2007 ," The Hayward Gallery, South Bank, London, UK",09/06/2007,
307,"9th June 2007 @ Royal Festival Hall, South Bank, London, UK",9th June 2007 ," Royal Festival Hall, South Bank, London, UK",09/06/2007,
308,"10th June 2007 @ Nambucca, London, UK",10th June 2007 ," Nambucca, London, UK",10/06/2007,
309,"14th June 2007 @ The Works, Kingston-Upon-Thames, UK",14th June 2007 ," The Works, Kingston-Upon-Thames, UK",14/06/2007,
310,"15th June 2007 @ Wireless Festival, London, UK",15th June 2007 ," Wireless Festival, London, UK",15/06/2007,
311,"6th July 2007 @ Rooz Studios, London, UK",6th July 2007 ," Rooz Studios, London, UK",06/07/2007,
312,"13th July 2007 @ 2000 Trees Festival, Cheltenham, UK",13th July 2007 ," 2000 Trees Festival, Cheltenham, UK",13/07/2007,
313,"15th July 2007 @ World’s Smallest Festival, Cargo, London, UK",15th July 2007 ," World’s Smallest Festival, Cargo, London, UK",15/07/2007,
314,"20th July 2007 @ Wilton House, Horsham, UK",20th July 2007 ," Wilton House, Horsham, UK",20/07/2007,
315,"21st July 2007 @ Westival, Aldershot, UK",21st July 2007 ," Westival, Aldershot, UK",21/07/2007,
316,"21st July 2007 @ Truck Replacement Show, Brookes University, Oxford, UK",21st July 2007 ," Truck Replacement Show, Brookes University, Oxford, UK",21/07/2007,
317,"21st July 2007 @ Truck Replacement Show, Port Mahon, Oxford, UK",21st July 2007 ," Truck Replacement Show, Port Mahon, Oxford, UK",21/07/2007,
318,"25th July 2007 @ Revolution Fleet Street, Liverpool, UK",25th July 2007 ," Revolution Fleet Street, Liverpool, UK",25/07/2007,
319,"28th July 2007 @ Secret Garden Party, Cambridgeshire, UK",28th July 2007 ," Secret Garden Party, Cambridgeshire, UK",28/07/2007,
320,"29th July 2007 @ Maker Festival, Cornwall, UK",29th July 2007 ," Maker Festival, Cornwall, UK",29/07/2007,
321,"2nd August 2007 @ Soho Revue Bar, London, UK",2nd August 2007 ," Soho Revue Bar, London, UK",02/08/2007,
322,"3rd August 2007 @ Y Not Festival, Derbyshire, UK",3rd August 2007 ," Y Not Festival, Derbyshire, UK",03/08/2007,
323,"4th August 2007 @ Newton Stacey Festival, Winchester, UK",4th August 2007 ," Newton Stacey Festival, Winchester, UK",04/08/2007,
324,"5th August 2007 @ Newton Stacey Festival, Winchester, UK",5th August 2007 ," Newton Stacey Festival, Winchester, UK",05/08/2007,
325,"6th August 2007 @ The Purple Turtle, Camden, London, UK",6th August 2007 ," The Purple Turtle, Camden, London, UK",06/08/2007,
326,"7th August 2007 @ Lo Fidelity Disconnect, London, UK",7th August 2007 ," Lo Fidelity Disconnect, London, UK",07/08/2007,
327,"8th August 2007 @ The Lazy Lizard, Weymouth, UK",8th August 2007 ," The Lazy Lizard, Weymouth, UK",08/08/2007,
328,"9th August 2007 @ Ripcurl Boardmasters Festival, Newquay, UK",9th August 2007 ," Ripcurl Boardmasters Festival, Newquay, UK",09/08/2007,
329,"10th August 2007 @ The Studio, Durham, UK",10th August 2007 ," The Studio, Durham, UK",10/08/2007,
330,"11th August 2007 @ Beached Festival, Scarborough, UK",11th August 2007 ," Beached Festival, Scarborough, UK",11/08/2007,
331,"15th August 2007 @ Rocksound Party, Bloomsbury Bowling, London, UK",15th August 2007 ," Rocksound Party, Bloomsbury Bowling, London, UK",15/08/2007,
332,"20th August 2007 @ The Twist, Colchester, UK",20th August 2007 ," The Twist, Colchester, UK",20/08/2007,
333,"23rd August 2007 @ The 12-Bar, Swindon, UK",23rd August 2007 ," The 12-Bar, Swindon, UK",23/08/2007,
334,"24th August 2007 @ Reading Festival, UK",24th August 2007 ," Reading Festival, UK",24/08/2007,
335,"25th August 2007 @ Leeds Festival, UK",25th August 2007 ," Leeds Festival, UK",25/08/2007,
336,"29th August 2007 @ The Croft, Bristol, UK",29th August 2007 ," The Croft, Bristol, UK",29/08/2007,
337,"6th September 2007 @ The Jericho Tavern, Oxford, UK",6th September 2007 ," The Jericho Tavern, Oxford, UK",06/09/2007,
338,"10th September 2007 @ Audio, Brighton, UK",10th September 2007 ," Audio, Brighton, UK",10/09/2007,
339,"11th September 2007 @ The Charlotte, Leicester, UK",11th September 2007 ," The Charlotte, Leicester, UK",11/09/2007,
340,"12th September 2007 @ Cabaret Voltaire, Edinburgh, UK",12th September 2007 ," Cabaret Voltaire, Edinburgh, UK",12/09/2007,
341,"13th September 2007 @ The Cathouse, Glasgow, UK",13th September 2007 ," The Cathouse, Glasgow, UK",13/09/2007,
342,"14th September 2007 @ The Cornerhouse, Middlesbrough, UK",14th September 2007 ," The Cornerhouse, Middlesbrough, UK",14/09/2007,
343,"15th September 2007 @ The Civic Bar, Wolverhampton, UK",15th September 2007 ," The Civic Bar, Wolverhampton, UK",15/09/2007,
344,"16th September 2007 @ The Ironworks, Inverness, UK",16th September 2007 ," The Ironworks, Inverness, UK",16/09/2007,
345,"17th September 2007 @ The Tunnels, Aberdeen, UK",17th September 2007 ," The Tunnels, Aberdeen, UK",17/09/2007,
346,"18th September 2007 @ Trillian’s, Newcastle, UK",18th September 2007 ," Trillian’s, Newcastle, UK",18/09/2007,
347,"19th September 2007 @ Clwb Ifor Bach, Cardiff, UK",19th September 2007 ," Clwb Ifor Bach, Cardiff, UK",19/09/2007,
348,"20th September 2007 @ The Spitz, London, UK",20th September 2007 ," The Spitz, London, UK",20/09/2007,
349,"21st September 2007 @ The Cockpit, Leeds, UK",21st September 2007 ," The Cockpit, Leeds, UK",21/09/2007,
350,"22nd September 2007 @ The Social, Nottingham, UK",22nd September 2007 ," The Social, Nottingham, UK",22/09/2007,
351,"23rd September 2007 @ The Barfly, Liverpool, UK",23rd September 2007 ," The Barfly, Liverpool, UK",23/09/2007,
352,"24th September 2007 @ Central Station, Wrexham, UK",24th September 2007 ," Central Station, Wrexham, UK",24/09/2007,
353,"25th September 2007 @ The Croft, Bristol, UK",25th September 2007 ," The Croft, Bristol, UK",25/09/2007,
354,"26th September 2007 @ The Park, Peterborough, UK",26th September 2007 ," The Park, Peterborough, UK",26/09/2007,
355,"28th September 2007 @ The Joiners, Southampton, UK",28th September 2007 ," The Joiners, Southampton, UK",28/09/2007,
356,"2nd October 2007 @ University of Bedford, Luton, UK",2nd October 2007 ," University of Bedford, Luton, UK",02/10/2007,
357,"3rd October 2007 @ Plug N Play, Reading, UK",3rd October 2007 ," Plug N Play, Reading, UK",03/10/2007,
358,"4th October 2007 @ The Lower Deck, Dublin, Ireland",4th October 2007 ," The Lower Deck, Dublin, Ireland",04/10/2007,
359,"5th October 2007 @ Dicey Riley’s, Strabane, Northern Ireland",5th October 2007 ," Dicey Riley’s, Strabane, Northern Ireland",05/10/2007,
360,"6th October 2007 @ Sandino’s, Derry, Northern Ireland",6th October 2007 ," Sandino’s, Derry, Northern Ireland",06/10/2007,
361,"7th October 2007 @ The Black Box, Belfast, Northern Ireland",7th October 2007 ," The Black Box, Belfast, Northern Ireland",07/10/2007,
362,"8th October 2007 @ The Queen Charlotte, Norwich, UK",8th October 2007 ," The Queen Charlotte, Norwich, UK",08/10/2007,
363,"28th October 2007 @ The Fest, Gainesville, FL, USA",28th October 2007 ," The Fest, Gainesville, FL, USA",28/10/2007,
364,"30th October 2007 @ House Show, St Augustine, FL, USA",30th October 2007 ," House Show, St Augustine, FL, USA",30/10/2007,
365,"31st October 2007 @ Big Daddy’s, Tallahassee, FL, USA",31st October 2007 ," Big Daddy’s, Tallahassee, FL, USA",31/10/2007,
366,"1st November 2007 @ Transitions Art Gallery, Tampa, FL, USA",1st November 2007 ," Transitions Art Gallery, Tampa, FL, USA",01/11/2007,
367,"2nd November 2007 @ Newton Community Center, Sarasota, FL, USA",2nd November 2007 ," Newton Community Center, Sarasota, FL, USA",02/11/2007,
368,"3rd November 2007 @ Fleischmann Community Centre, Naples, FL, USA",3rd November 2007 ," Fleischmann Community Centre, Naples, FL, USA",03/11/2007,
369,"7th November 2007 @ The Crayola House, Harrisonburg, VA, USA",7th November 2007 ," The Crayola House, Harrisonburg, VA, USA",07/11/2007,
370,"10th November 2007 @ Brett’s Basement, UMASS Amherst, MA, USA",10th November 2007 ," Brett’s Basement, UMASS Amherst, MA, USA",10/11/2007,
371,"11th November 2007 @ SUNY, Binghamton, NY, USA",11th November 2007 ," SUNY, Binghamton, NY, USA",11/11/2007,
372,"12th November 2007 @ Fontana’s, New York, NY, USA",12th November 2007 ," Fontana’s, New York, NY, USA",12/11/2007,
373,"12th November 2007 @ Pete’s Candy Store, New York, NY, USA",12th November 2007 ," Pete’s Candy Store, New York, NY, USA",12/11/2007,
374,"14th November 2007 @ Hotel Cafe, Los Angeles, CA, USA",14th November 2007 ," Hotel Cafe, Los Angeles, CA, USA",14/11/2007,
375,"15th November 2007 @ The Mint, Los Angeles, CA, USA",15th November 2007 ," The Mint, Los Angeles, CA, USA",15/11/2007,
376,"16th November 2007 @ SW Hill Country, Los Angeles, CA, USA",16th November 2007 ," SW Hill Country, Los Angeles, CA, USA",16/11/2007,
377,"30th November 2007 @ 33 Portland Place, London, UK",30th November 2007 ," 33 Portland Place, London, UK",30/11/2007,
378,"6th December 2007 @ The Hideaway, Archway, London, UK",6th December 2007 ," The Hideaway, Archway, London, UK",06/12/2007,
379,"13th December 2007 @ The Luminaire, Kilburn, London, UK",13th December 2007 ," The Luminaire, Kilburn, London, UK",13/12/2007,
380,"20th December 2007 @ Pure Groove, Archway, London, UK",20th December 2007 ," Pure Groove, Archway, London, UK",20/12/2007,
381,"22nd December 2007 @ Tony’s House, Windsor, UK",22nd December 2007 ," Tony’s House, Windsor, UK",22/12/2007,
